neighbourhood_cleansed,listing_count,median_price,mean_price,median_revenue,mean_revenue,median_occupancy,avg_rating,pct_superhost,pct_instant_bookable,city
Eilandje,66,127.5,129.84848484848484,6240.0,10685.787878787878,55.0,4.66,0.333,0.242,Antwerp
Historisch Centrum,395,109.0,153.46835443037975,5832.0,10689.574683544304,66.0,4.67,0.365,0.527,Amsterdam
Sint-Andries,154,110.0,125.54545454545456,5823.0,9673.14935064935,60.0,4.64,0.221,0.513,Antwerp
Harmonie,62,113.0,141.3709677419355,5590.0,11382.66129032258,58.0,4.84,0.21,0.387,Antwerp
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1406,100.0,134.83001422475107,5498.0,11179.741820768137,60.0,4.81,0.519,0.743,Athens
Tuinwijk,5,52.0,63.6,5304.0,4456.0,56.0,4.76,0.2,0.8,Antwerp
Phra Khanong,395,800.0,1051.746835443038,4620.0,60345.37215189874,0.0,4.77,0.299,0.251,Antwerp
Oud-Oost,654,147.0,199.1697247706422,4620.0,8434.74617737003,10.0,4.85,0.135,0.118,Amsterdam
Phra Nakhon,436,846.0,1129.6399082568807,4620.0,62801.227064220184,6.0,4.65,0.268,0.548,Antwerp
Pom Prap Sattru Phai,97,778.0,1371.9896907216496,4620.0,97058.01030927835,24.0,4.66,0.103,0.66,Antwerp
Phasi Charoen,108,571.5,741.3888888888889,4620.0,33646.833333333336,0.0,4.77,0.259,0.315,Antwerp
Oostelijk Havengebied - Indische Buurt,436,147.0,183.87385321100916,4620.0,8652.529816513761,16.0,4.86,0.154,0.112,Amsterdam
Oud-Noord,485,147.0,263.12577319587626,4620.0,9746.760824742269,16.0,4.83,0.144,0.134,Amsterdam
Oud - Merksem,13,147.0,115.92307692307692,4620.0,5735.923076923077,56.0,4.79,0.231,0.077,Antwerp
Oud - Berchem,71,85.0,105.85915492957749,4620.0,6480.619718309859,42.0,4.82,0.211,0.296,Antwerp
Osdorp,57,147.0,161.03508771929825,4620.0,9781.701754385966,16.0,4.86,0.193,0.158,Antwerp
Oosterveld - Elsdonk,9,84.0,108.0,4620.0,6027.333333333333,60.0,4.73,0.556,0.111,Amsterdam
Noord-West,298,147.0,176.35906040268458,4620.0,7495.587248322147,16.0,4.86,0.178,0.091,Amsterdam
Nong Chok,12,147.0,1145.5833333333333,4620.0,2695.0,0.0,4.8,0.083,0.25,Bangkok
Nieuw - Zuid,7,147.0,137.14285714285714,4620.0,5337.428571428572,0.0,4.78,0.0,0.714,Amsterdam
Neerland,1,147.0,147.0,4620.0,4620.0,0.0,4.8,0.0,0.0,Antwerp
NINTH WARD,36,147.0,147.0,4620.0,4620.0,42.0,4.79,0.472,0.0,Antwerp
Min Buri,39,456.0,924.5641025641024,4620.0,13796.46153846154,0.0,4.85,0.051,0.103,Antwerp
Linkeroever,21,104.0,102.0,4620.0,5931.285714285715,30.0,4.82,0.476,0.095,Antwerp
Pra Wet,107,360.0,759.3271028037383,4620.0,28540.30841121495,0.0,4.81,0.112,0.196,Antwerp
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,45,72.0,99.55555555555556,4620.0,9692.444444444443,54.0,4.82,0.533,0.644,Athens
Rat Burana,48,727.5,973.875,4620.0,64005.8125,0.0,4.76,0.062,0.417,Antwerp
Ratchathewi,657,1100.0,2897.750380517504,4620.0,98749.71537290716,6.0,4.69,0.172,0.489,Bangkok
ΣΤΑΔΙΟ,286,84.0,121.34615384615384,4620.0,8118.996503496504,30.0,4.82,0.465,0.682,Athens
ΘΗΣΕΙΟ,468,94.0,126.59188034188034,4620.0,9706.929487179486,48.0,4.82,0.498,0.754,Athens
ΓΚΑΖΙ,115,88.0,112.52173913043478,4620.0,7950.373913043478,48.0,4.83,0.722,0.783,Athens
ΑΚΡΟΠΟΛΗ,482,112.0,164.33609958506224,4620.0,14206.553941908714,52.0,4.82,0.479,0.666,Athens
Zuid,863,147.0,235.6512166859791,4620.0,9134.79142526072,16.0,4.86,0.159,0.165,Amsterdam
Yan na wa,145,826.0,1048.8,4620.0,44009.020689655175,0.0,4.84,0.145,0.269,Antwerp
Westerpark,736,147.0,204.54347826086956,4620.0,9103.141304347826,16.0,4.86,0.158,0.135,Amsterdam
Watergraafsmeer,318,147.0,199.63836477987425,4620.0,7611.647798742139,8.0,4.86,0.173,0.126,Antwerp
Wang Thong Lang,62,488.0,953.2903225806452,4620.0,17245.677419354837,0.0,4.79,0.161,0.29,Bangkok
Valaar,9,126.0,118.66666666666669,4620.0,3869.3333333333335,6.0,4.74,0.0,0.222,Antwerp
Unknown,2,147.0,147.0,4620.0,4620.0,18.0,4.87,0.0,0.0,Antwerp
Universiteitsbuurt,218,69.5,102.90366972477064,4620.0,8791.178899082568,60.0,4.55,0.106,0.716,Antwerp
Thung khru,18,147.0,1390.0555555555557,4620.0,6353.333333333333,0.0,4.91,0.056,0.167,Antwerp
Thon buri,132,718.0,805.1287878787879,4620.0,67199.37121212122,0.0,4.78,0.341,0.311,Bangkok
Thawi Watthana,14,861.5,1226.2142857142858,4620.0,14773.714285714286,0.0,4.68,0.0,0.357,Antwerp
Taling Chan,37,147.0,3322.6216216216217,4620.0,4996.7027027027025,0.0,4.86,0.027,0.432,Antwerp
TWELFTH WARD,3,147.0,147.0,4620.0,4620.0,0.0,4.89,0.0,0.0,Antwerp
THIRTEENTH WARD,39,147.0,147.0,4620.0,4620.0,56.0,4.84,0.846,0.0,Antwerp
THIRD WARD,33,147.0,147.0,4620.0,4620.0,18.0,4.7,0.273,0.0,Antwerp
TENTH WARD,49,147.0,147.0,4620.0,4620.0,54.0,4.79,0.653,0.0,Antwerp
Suanluang,259,850.0,1455.8494208494208,4620.0,60063.38223938224,0.0,4.72,0.216,0.32,Antwerp
Stuivenberg,57,109.0,129.1578947368421,4620.0,4764.701754385965,6.0,4.84,0.246,0.158,Antwerp
Slotervaart,206,147.0,169.44660194174756,4620.0,6271.849514563107,16.0,4.88,0.121,0.121,Amsterdam
Saphan Sung,32,249.5,1188.0625,4620.0,9043.6875,0.0,4.88,0.188,0.281,Antwerp
Lat Phrao,31,720.0,1750.1612903225807,4620.0,8966.322580645161,0.0,4.81,0.097,0.323,Bangkok
Sai Mai,35,467.0,1278.5428571428572,4620.0,19988.4,0.0,4.7,0.343,0.4,Bangkok
SIXTH WARD,106,147.0,147.0,4620.0,4620.0,60.0,4.75,0.491,0.0,Antwerp
SEVENTH WARD,13,147.0,147.0,4620.0,4620.0,66.0,4.75,0.462,0.0,Antwerp
SECOND WARD,43,147.0,147.0,4620.0,4620.0,108.0,4.74,0.279,0.0,Antwerp
Samphanthawong,91,147.0,1035.021978021978,4620.0,42391.07692307692,0.0,4.75,0.209,0.747,Antwerp
Noord-Oost,188,147.0,176.75531914893617,4620.0,6180.86170212766,15.0,4.86,0.186,0.181,Amsterdam
Lat Krabang,104,790.0,810.0961538461538,4620.0,51617.817307692305,0.0,4.7,0.192,0.471,Bangkok
Chatu Chak,415,750.0,1043.9084337349398,4620.0,51435.10843373494,0.0,4.79,0.313,0.304,Antwerp
Borgerhout Intra Muros Zuid,89,99.0,142.47191011235955,4620.0,5357.191011235955,12.0,4.84,0.258,0.135,Amsterdam
Bos en Lommer,547,147.0,174.51919561243145,4620.0,6926.73857404022,8.0,4.84,0.106,0.095,Antwerp
Bueng Kum,40,662.5,1601.85,4620.0,22580.75,0.0,4.86,0.075,0.325,Antwerp
Buitenveldert - Zuidas,125,147.0,2027.24,4620.0,9553.296,8.0,4.83,0.208,0.184,Amsterdam
Centrum-Oost,923,161.0,247.99674972914408,4620.0,17404.426868905743,24.0,4.82,0.259,0.302,Amsterdam
Centrum-West,1207,161.0,254.73653686826844,4620.0,19784.644573322286,40.0,4.81,0.313,0.274,Amsterdam
Chom Thong,55,713.0,883.6909090909091,4620.0,58918.6,0.0,4.83,0.236,0.273,Bangkok
Din Daeng,286,758.0,1120.6223776223776,4620.0,53242.47552447552,0.0,4.77,0.308,0.441,Antwerp
De Aker - Nieuw Sloten,67,147.0,171.26865671641792,4620.0,8598.970149253732,8.0,4.87,0.269,0.209,Antwerp
De Baarsjes - Oud-West,1808,147.0,215.19026548672565,4620.0,8366.835730088496,16.0,4.87,0.134,0.093,Amsterdam
De Pijp - Rivierenbuurt,1199,147.0,219.24270225187655,4620.0,9161.492910758963,16.0,4.86,0.156,0.088,Antwerp
Deurne Dorp - Gallifort,14,147.0,133.78571428571428,4620.0,5313.357142857143,18.0,4.76,0.071,0.214,Antwerp
Deurne Oost,11,116.0,132.63636363636363,4620.0,6895.636363636364,30.0,4.74,0.091,0.091,Amsterdam
Deurne Zuid Oost,21,147.0,208.1904761904762,4620.0,5096.857142857143,0.0,4.7,0.143,0.095,Amsterdam
Borgerhout Intra Muros Noord,73,81.0,110.68493150684932,4620.0,5895.58904109589,36.0,4.75,0.329,0.233,Amsterdam
Bijlmer-Oost,38,147.0,153.0,4620.0,7617.815789473684,19.5,4.8,0.158,0.132,Amsterdam
Bijlmer-Centrum,66,147.0,145.6818181818182,4620.0,14234.984848484848,47.0,4.66,0.212,0.47,Amsterdam
Bangkok Yai,68,889.0,1360.5,4620.0,62052.617647058825,0.0,4.85,0.265,0.235,Bangkok
Bangkok Noi,103,531.0,854.9514563106796,4620.0,19850.796116504855,0.0,4.77,0.146,0.32,Bangkok
Bang Rak,605,385.0,1430.201652892562,4620.0,103260.16363636364,0.0,4.7,0.22,0.453,Bangkok
Bang Phlat,167,147.0,761.3952095808384,4620.0,63181.23353293413,0.0,4.73,0.18,0.204,Bangkok
Bang Na,347,743.0,982.7031700288184,4620.0,50187.98847262248,0.0,4.74,0.271,0.236,Bangkok
Bang Kho laen,105,810.0,1159.7809523809524,4620.0,61983.47619047619,0.0,4.81,0.143,0.524,Bangkok
Bang Khen,81,558.0,884.1481481481482,4620.0,35699.83950617284,0.0,4.75,0.185,0.296,Bangkok
Bang Khae,62,147.0,461.56451612903226,4620.0,9391.612903225809,0.0,4.82,0.048,0.194,Bangkok
Bang Kapi,185,550.0,761.3459459459459,4620.0,27817.09189189189,0.0,4.74,0.2,0.265,Bangkok
Bang Bon,5,147.0,558.8,4620.0,2772.0,0.0,4.9,0.0,0.4,Bangkok
Amandus - Atheneum,217,81.0,98.05069124423964,4620.0,6834.341013824885,24.0,4.69,0.18,0.332,Antwerp
Deurne Zuid West,22,147.0,120.45454545454544,4620.0,4240.272727272727,9.0,4.64,0.136,0.136,Amsterdam
Borgerhout Extra Muros,41,96.0,116.78048780487804,4620.0,5598.024390243902,10.0,4.87,0.366,0.098,Antwerp
Don Mueang,121,584.0,689.3636363636364,4620.0,25066.23140495868,0.0,4.7,0.14,0.347,Antwerp
Geuzenveld - Slotermeer,139,147.0,178.97841726618705,4620.0,8343.525179856115,23.0,4.79,0.273,0.331,Antwerp
Lak Si,99,631.0,731.4848484848485,4620.0,25236.676767676767,0.0,4.77,0.354,0.313,Antwerp
Dusit,70,574.0,695.4428571428572,4620.0,27952.414285714287,0.0,4.68,0.043,0.543,Bangkok
Khlong San,272,896.5,1748.1691176470588,4620.0,80046.54411764706,0.0,4.78,0.221,0.349,Bangkok
Khlong Sam Wa,29,147.0,824.8620689655172,4620.0,14409.51724137931,0.0,4.81,0.034,0.069,Bangkok
Khan Na Yao,37,562.0,696.6216216216217,4620.0,23396.972972972973,0.0,4.79,0.162,0.351,Antwerp
IJburg - Zeeburgereiland,188,147.0,1048.186170212766,4620.0,25589.010638297874,16.0,4.85,0.197,0.17,Antwerp
Huai Khwang,748,800.0,7080.354278074867,4620.0,79858.51604278074,0.0,4.73,0.167,0.348,Antwerp
Hoboken - Zuidoost,9,147.0,125.66666666666669,4620.0,2773.3333333333335,28.0,4.62,0.0,0.0,Amsterdam
Hoboken - Noord,14,134.5,127.21428571428572,4620.0,3945.428571428571,3.0,4.51,0.071,0.357,Amsterdam
Haringrode,40,100.5,130.775,4620.0,7563.675,48.0,4.83,0.425,0.075,Antwerp
Kiel,17,102.0,103.6470588235294,4620.0,7689.058823529412,64.0,4.8,0.353,0.059,Antwerp
ELEVENTH WARD,30,147.0,147.0,4620.0,4620.0,21.0,4.52,0.233,0.0,Antwerp
FIRST WARD,9,147.0,147.0,4620.0,4620.0,84.0,4.71,0.333,0.0,Antwerp
Gaasperdam - Driemond,60,147.0,143.93333333333334,4620.0,8308.8,16.0,4.72,0.067,0.317,Antwerp
EIGHTH WARD,12,147.0,147.0,4620.0,4620.0,19.0,4.91,0.417,0.0,Antwerp
FIFTEENTH WARD,15,147.0,147.0,4620.0,4620.0,108.0,4.91,0.8,0.0,Antwerp
FOURTH WARD,17,147.0,147.0,4620.0,4620.0,24.0,4.68,0.118,0.0,Antwerp
FIFTH WARD,19,147.0,147.0,4620.0,4620.0,18.0,4.45,0.053,0.0,Antwerp
FOURTEENTH WARD,29,147.0,147.0,4620.0,4620.0,126.0,4.91,0.724,0.0,Antwerp
Stadspark,106,116.5,131.47169811320754,4532.0,7642.273584905661,30.0,4.72,0.123,0.425,Antwerp
